fide_id,player_name,title,country,gender,birth_year,rating_standard,rating_rapid,rating_blitz,games_played,federation_rating,rating_group,age,active_status,performance_category
46761572,Player_Under 1600_0001,None,Other,M,1979,874,891,965,57,878.432177986776,Under 1600,46,Active,Club Player
31025944,Player_Under 1600_0002,None,TUR,F,1979,1037,993,1062,53,993.1602744520085,Under 1600,46,Active,Club Player
81927011,Player_Under 1600_0003,None,GER,M,1956,1509,1472,1499,37,1529.7765444164331,Under 1600,69,Active,Club Player
86620409,Player_Under 1600_0004,None,CHN,F,1963,1376,1276,1290,46,1359.6542385325436,Under 1600,62,Active,Club Player
13191935,Player_Under 1600_0005,None,NED,M,2009,1524,1528,1556,47,1527.5011326309193,Under 1600,16,Active,Club Player
96947863,Player_Under 1600_0006,None,TUR,M,2007,1447,1436,1511,56,1475.9284734107941,Under 1600,18,Active,Club Player
50705555,Player_Under 1600_0007,None,KOR,M,1986,1515,1419,1416,67,1561.6462415290296,Under 1600,39,Active,Club Player
36840945,Player_Under 1600_0008,None,Other,M,1957,814,800,800,85,805.5658869393766,Under 1600,68,Active,Club Player
96569560,Player_Under 1600_0009,None,CAN,F,1980,1119,1068,1146,12,1135.933217935669,Under 1600,45,Inactive,Club Player
95623715,Player_Under 1600_0010,None,RUS,M,2003,1448,1399,1421,82,1477.4891836302045,Under 1600,22,Active,Club Player
75333214,Player_Under 1600_0011,None,USA,M,1999,852,865,800,85,819.8529393011404,Under 1600,26,Active,Club Player
50687108,Player_Under 1600_0012,None,CAN,M,1952,1290,1256,1251,30,1311.141626694723,Under 1600,73,Inactive,Club Player
90990113,Player_Under 1600_0013,None,ESP,M,1974,1086,995,936,36,1042.8613007791014,Under 1600,51,Active,Club Player
66340327,Player_Under 1600_0014,None,ARG,F,1981,1150,1189,1174,21,1150.3880266078575,Under 1600,44,Active,Club Player
26962873,Player_Under 1600_0015,None,FRA,M,2010,1546,1508,1438,99,1530.9356480626345,Under 1600,15,Active,Club Player
41470889,Player_Under 1600_0016,None,POL,M,1961,1529,1514,1478,18,1541.6294119114232,Under 1600,64,Inactive,Club Player
11547421,Player_Under 1600_0017,None,Other,M,1968,1140,1155,1078,82,1109.4614218975628,Under 1600,57,Active,Club Player
29558286,Player_Under 1600_0018,None,UKR,M,1974,1163,1109,1057,32,1189.2671915661685,Under 1600,51,Active,Club Player
36605881,Player_Under 1600_0019,None,NOR,M,1962,1325,1306,1333,67,1394.6238506966338,Under 1600,63,Active,Club Player
64764501,Player_Under 1600_0020,None,JPN,M,1965,1480,1442,1447,95,1470.8548492091975,Under 1600,60,Active,Club Player
19543276,Player_Under 1600_0021,None,NOR,M,1954,1177,1127,1127,43,1209.0438296142802,Under 1600,71,Inactive,Club Player
99872580,Player_Under 1600_0022,CM,TUR,M,1986,1248,1230,1255,21,1178.7442045521966,Under 1600,39,Active,Titled
43013681,Player_Under 1600_0023,None,NOR,M,2000,871,800,800,36,887.4732053665937,Under 1600,25,Active,Club Player
57612848,Player_Under 1600_0024,None,GBR,M,1957,1002,995,954,75,985.526085506028,Under 1600,68,Active,Club Player
93164057,Player_Under 1600_0025,None,ITA,F,1961,1099,1074,1005,91,1118.5305087360985,Under 1600,64,Active,Club Player
50997125,Player_Under 1600_0026,None,TUR,M,1951,1482,1390,1315,64,1514.891595842796,Under 1600,74,Inactive,Club Player
35505921,Player_Under 1600_0027,None,ESP,M,1982,929,926,851,23,895.256491082372,Under 1600,43,Active,Club Player
34460692,Player_Under 1600_0028,None,BRA,M,1968,1402,1450,1515,52,1393.7709096250524,Under 1600,57,Active,Club Player
60406390,Player_Under 1600_0029,None,ITA,M,1961,1335,1288,1240,67,1360.2478448728687,Under 1600,64,Active,Club Player
52580007,Player_Under 1600_0030,None,BRA,F,1964,1050,974,906,14,1072.5766788660185,Under 1600,61,Inactive,Club Player
43841184,Player_Under 1600_0031,None,UKR,M,1972,1275,1200,1191,28,1254.8700344587378,Under 1600,53,Active,Club Player
71866086,Player_Under 1600_0032,None,NOR,M,1950,1582,1600,1616,78,1583.5716336185421,Under 1600,75,Inactive,Club Player
91995884,Player_Under 1600_0033,None,Other,M,2009,1026,926,871,17,969.1224428730826,Under 1600,16,Inactive,Club Player
75643848,Player_Under 1600_0034,None,KOR,F,1962,1160,1193,1193,44,1153.1515819646115,Under 1600,63,Active,Club Player
74165640,Player_Under 1600_0035,None,BRA,M,1979,1089,993,1041,94,1089.567406032714,Under 1600,46,Active,Club Player
57972367,Player_Under 1600_0036,None,ITA,M,2010,1497,1433,1512,63,1542.3482013456946,Under 1600,15,Active,Club Player
93344365,Player_Under 1600_0037,None,GER,M,2005,1080,1112,1128,94,1095.393728362303,Under 1600,20,Active,Club Player
98376283,Player_Under 1600_0038,None,KOR,M,1951,1018,963,926,34,1015.6813833659768,Under 1600,74,Inactive,Club Player
15322647,Player_Under 1600_0039,None,ARG,M,1984,1210,1205,1191,75,1235.6196957900447,Under 1600,41,Active,Club Player
31296749,Player_Under 1600_0040,None,RUS,M,1950,1238,1197,1258,20,1245.4001660669085,Under 1600,75,Inactive,Club Player
29333268,Player_Under 1600_0041,None,USA,M,1955,1534,1560,1612,35,1554.3639312003468,Under 1600,70,Inactive,Club Player
75263160,Player_Under 1600_0042,None,NOR,M,1990,1459,1448,1401,59,1446.1817705907727,Under 1600,35,Active,Club Player
16517734,Player_Under 1600_0043,CM,GBR,M,2000,1448,1490,1555,21,1469.676421835179,Under 1600,25,Active,Titled
29499409,Player_Under 1600_0044,None,USA,M,1952,1322,1279,1307,32,1338.7107895022,Under 1600,73,Inactive,Club Player
15921548,Player_Under 1600_0045,None,JPN,F,1982,1110,1038,968,10,1133.3462059414205,Under 1600,43,Inactive,Club Player
88959669,Player_Under 1600_0046,CM,NED,F,1986,1122,1126,1056,35,1118.96027390478,Under 1600,39,Active,Titled
65732511,Player_Under 1600_0047,None,FRA,M,1961,1309,1334,1326,76,1334.9981496500623,Under 1600,64,Active,Club Player
57159029,Player_Under 1600_0048,None,POL,M,1955,1599,1646,1633,92,1569.9335864747793,Under 1600,70,Inactive,Club Player
13892508,Player_Under 1600_0049,None,TUR,F,1955,1044,982,958,70,1017.7005308504753,Under 1600,70,Inactive,Club Player
65637611,Player_Under 1600_0050,CM,USA,M,1963,1576,1614,1623,84,1564.7940030169334,Under 1600,62,Active,Titled
73486328,Player_Under 1600_0051,None,UKR,M,2001,1416,1339,1292,31,1446.7993846884985,Under 1600,24,Active,Club Player
37979768,Player_Under 1600_0052,None,BRA,M,1994,1194,1208,1215,87,1217.4420466068775,Under 1600,31,Active,Club Player
38939375,Player_Under 1600_0053,None,CAN,M,2000,1217,1192,1122,15,1241.6187138032515,Under 1600,25,Inactive,Club Player
48214940,Player_Under 1600_0054,None,TUR,M,2004,1211,1143,1094,69,1198.7877431768884,Under 1600,21,Active,Club Player
72300069,Player_Under 1600_0055,None,GER,M,1975,1462,1466,1446,14,1491.0829272839267,Under 1600,50,Inactive,Club Player
73492406,Player_Under 1600_0056,None,ITA,M,1983,1299,1315,1379,33,1298.8947432463424,Under 1600,42,Active,Club Player
69765209,Player_Under 1600_0057,None,TUR,M,1998,1442,1404,1408,23,1422.5715848366863,Under 1600,27,Active,Club Player
63093929,Player_Under 1600_0058,None,BRA,M,1996,1136,1148,1139,81,1115.5169783118351,Under 1600,29,Active,Club Player
