user,avg_rating,min_rating,max_rating,rating_volatility,avg_rating_change,win_rate,total_games,pct_bullet,pct_blitz,pct_rapid,pct_classical,first_game,last_game,days_active,rating_tier,activity_level,preferred_time_control
Ediz_Gurel,3379.5,3370,3390,6.5,-0.67,0.8,15,1,0,0,0,2025-10-15T12:32:53Z,2025-10-15T15:00:34Z,0.1025508680553348,Expert,Medium,Bullet
ARM-777777,3301.9,3064,3329,66,1.4,0.867,15,0.933,0.067,0,0,2025-09-29T21:00:12Z,2025-10-14T18:31:32Z,14.896755567129564,Expert,Medium,Bullet
SindarovGM,3250.7,3237,3261,7.2,1.8,0.9,15,1,0,0,0,2025-10-06T15:23:09Z,2025-10-10T19:50:54Z,4.185938460647508,Expert,Medium,Bullet
MahammadMuradli2003,3236.6,3216,3250,10.1,2,0.9,15,1,0,0,0,2025-10-14T12:08:16Z,2025-10-14T12:48:04Z,0.027631967592018622,Expert,Medium,Bullet
Heisenberg01,3198.1,3192,3204,3.5,-0.07,0.733,15,1,0,0,0,2025-10-13T21:43:04Z,2025-10-15T09:36:54Z,1.4957141666666225,Expert,Medium,Bullet
Jaggust01,3196.1,3184,3205,7.4,0.8,0.567,15,1,0,0,0,2025-08-05T22:49:55Z,2025-10-10T15:39:12Z,65.7008869444441,Expert,Medium,Bullet
chess-art-us,3186.4,3178,3196,5.4,0.07,0.833,15,1,0,0,0,2025-10-13T17:32:16Z,2025-10-14T20:20:10Z,1.1165959374992935,Expert,Medium,Bullet
BackToJune,3185.4,3173,3196,5.8,-1,0.7,15,1,0,0,0,2025-10-16T04:35:25Z,2025-10-16T04:59:04Z,0.01643168981704447,Expert,Medium,Bullet
Chess_Grizzle_7233,3173,3115,3200,24.6,4.27,0.733,15,1,0,0,0,2025-10-09T15:54:12Z,2025-10-09T16:22:09Z,0.0194077546287466,Expert,Medium,Bullet
Crecent,3171.7,3162,3179,5.3,-1,0.667,15,1,0,0,0,2025-07-15T15:43:49Z,2025-10-10T02:58:56Z,86.46883444444448,Expert,Medium,Bullet
Aqua_Blazing,3171.1,2999,3324,160.9,1.2,0.867,15,0.533,0.467,0,0,2025-09-02T21:38:29Z,2025-09-05T14:52:01Z,2.7177272685203286,Expert,Medium,Bullet
Dotorkal,3169,3153,3182,9.2,0.67,0.833,15,1,0,0,0,2025-09-28T11:38:38Z,2025-10-11T12:10:31Z,13.022135335648501,Expert,Medium,Bullet
indianstar,3161.7,3150,3175,7,-1,0.467,15,1,0,0,0,2025-10-15T23:01:22Z,2025-10-16T02:48:13Z,0.1575306828706353,Expert,Medium,Bullet
gmadham,3158.5,3143,3168,8.3,-1,0.667,15,1,0,0,0,2025-10-16T00:35:10Z,2025-10-16T01:11:18Z,0.02509413194325235,Expert,Medium,Bullet
